日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,9,4681.0,627.0,"[7, 5, 7, 1, 7, 6, 6, 5, 5, 4, 1, 3, 3]","[7, 5, 7, 1, 7, 6, 5, 4, 1, 3]","[0, 45, 105, 165, 255, 315, 375, 435, 480, 570]"
,2,5147.0,707.0,"[6, 1, 4, 6, 3, 6, 5, 3, 2, 3, 7, 2, 6]","[6, 1, 4, 6, 3, 6, 5, 3, 2, 3, 7]","[0, 45, 165, 225, 285, 345, 420, 465, 525, 600, 660]"
,3,2838.0,377.0,"[3, 3, 3, 3, 4, 4, 4, 6, 4, 4, 3, 3, 2, 2]","[3, 4, 6, 4, 3, 2]","[0, 60, 120, 195, 240, 315]"
,4,5114.0,717.5,"[6, 6, 3, 5, 2, 2, 6, 5, 6, 0, 7, 5, 0, 5, 6, 0, 0, 0, 7, 7]","[6, 3, 5, 2, 6, 5, 6, 0, 7, 5, 0]","[0, 45, 120, 180, 240, 300, 345, 420, 525, 585, 630]"
,9,3753.0,520.5,"[3, 3, 3, 7, 2, 4, 6, 5, 3, 3, 1]","[3, 7, 2, 4, 6, 5, 3, 1]","[0, 60, 135, 210, 270, 315, 375, 435]"
,10,5160.0,712.5,"[6, 6, 1, 2, 3, 6, 4, 7, 1, 4, 5, 2, 4, 2, 0, 7, 0, 4, 2, 6]","[6, 1, 2, 3, 6, 4, 7, 1, 4, 5, 2]","[0, 45, 165, 240, 300, 375, 420, 495, 585, 630, 660]"
,2,5122.0,622.0,"[6, 5, 4, 2, 3, 3, 5, 7, 5, 7, 5, 3]","[6, 5, 4, 2, 3, 5, 7, 5, 7, 5, 3]","[0, 45, 90, 150, 225, 300, 345, 405, 465, 525, 570]"
,5,5141.0,724.0,"[0, 6, 6, 3, 3, 1, 3, 1, 5, 2, 4, 2, 0, 5, 7]","[0, 6, 3, 1, 3, 1, 5, 2, 4, 2, 5]","[0, 135, 210, 270, 360, 435, 525, 570, 645, 675, 705]"
,7,4672.0,640.5,"[5, 6, 6, 0, 5, 3, 4, 2, 6, 3, 2]","[5, 6, 0, 5, 3, 4, 2, 6, 3, 2]","[0, 30, 60, 210, 255, 315, 390, 450, 525, 585]"
,4,3780.0,659.0,"[4, 4, 0, 1, 2, 2, 0, 3, 2, 1]","[4, 0, 1, 2, 0, 3, 2, 1]","[0, 30, 180, 270, 345, 450, 510, 585]"
,2,4226.0,607.5,"[3, 4, 6, 2, 4, 1, 7, 1, 5, 5]","[3, 4, 6, 2, 4, 1, 7, 1, 5]","[0, 60, 120, 195, 255, 315, 405, 480, 570]"
,6,5128.0,707.0,"[6, 6, 4, 4, 4, 6, 6, 3, 5, 6, 7, 1, 6, 3, 1, 5, 3, 4, 5, 4]","[6, 4, 6, 3, 5, 6, 7, 1, 6, 3, 1]","[0, 45, 105, 165, 240, 285, 360, 435, 525, 585, 645]"
,5,3242.0,444.0,"[6, 2, 5, 5, 7, 7, 6, 1, 5, 5, 5, 5, 5]","[6, 2, 5, 7, 6, 1, 5]","[0, 45, 135, 180, 255, 315, 405]"
,8,4236.0,706.5,"[0, 0, 4, 1, 3, 1, 6, 6, 4, 6, 0, 4, 0, 2, 2, 3, 5, 0]","[0, 4, 1, 3, 1, 6, 4, 6, 0]","[0, 135, 195, 285, 360, 450, 510, 555, 630]"
,4,4733.0,709.0,"[6, 2, 7, 7, 4, 3, 0, 1, 1, 4, 0, 3, 2, 1, 2, 4, 6, 1, 2]","[6, 2, 7, 4, 3, 0, 1, 4, 0, 3]","[0, 45, 135, 195, 255, 315, 420, 525, 570, 675]"
,6,3264.0,415.0,"[5, 3, 4, 5, 0, 5, 4, 4, 4, 4]","[5, 3, 4, 5, 0, 5, 4]","[0, 30, 105, 165, 210, 315, 375]"
,6,3756.0,500.0,"[2, 5, 3, 2, 2, 6, 3, 2, 4, 4]","[2, 5, 3, 2, 6, 3, 2, 4]","[0, 75, 120, 195, 255, 330, 390, 465]"
,9,4201.0,538.5,"[3, 7, 5, 5, 2, 5, 6, 4, 3, 6]","[3, 7, 5, 2, 5, 6, 4, 3, 6]","[0, 60, 135, 180, 255, 300, 360, 420, 480]"
,7,4678.0,710.5,"[5, 5, 1, 1, 3, 5, 5, 1, 0, 2, 2, 4, 7, 1, 3, 5, 6, 7]","[5, 1, 3, 5, 1, 0, 2, 4, 7, 1]","[0, 30, 165, 225, 270, 375, 480, 540, 585, 660]"
,5,5146.0,739.0,"[3, 3, 5, 1, 7, 1, 7, 7, 2, 3, 5, 6, 0, 7, 0, 3, 1, 3, 5]","[3, 5, 1, 7, 1, 7, 2, 3, 5, 6, 7]","[0, 60, 120, 210, 285, 375, 450, 525, 585, 630, 690]"
,9,5152.0,678.0,"[5, 5, 3, 2, 4, 4, 1, 3, 4, 1, 5, 4, 6]","[5, 3, 2, 4, 1, 3, 4, 1, 5, 4, 6]","[0, 30, 105, 180, 240, 330, 390, 450, 540, 585, 630]"
