日付,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,6079,668.0,"[4, 5, 7, 4, 5, 6, 5, 4, 6, 6, 2, 4, 7, 7, 5]","[4, 5, 7, 4, 5, 6, 5, 4, 6, 2, 4, 7, 5]","[0, 30, 75, 135, 195, 240, 300, 345, 405, 465, 525, 585, 645]"
,6107,669.0,"[4, 4, 6, 4, 4, 7, 5, 4, 5, 6, 4, 4, 2, 5, 7, 4, 0]","[4, 6, 4, 7, 5, 4, 5, 6, 4, 2, 5, 7, 4]","[0, 30, 75, 135, 195, 255, 300, 345, 405, 465, 525, 585, 645]"
,6080,675.0,"[4, 7, 3, 6, 5, 7, 5, 2, 7, 5, 4, 3, 5, 0, 1]","[4, 7, 3, 6, 5, 7, 5, 2, 7, 5, 4, 3, 5]","[0, 30, 75, 150, 210, 255, 315, 360, 435, 495, 540, 585, 645]"
,6124,674.5,"[4, 6, 7, 6, 4, 7, 3, 3, 4, 6, 4, 6, 4, 4, 5]","[4, 6, 7, 6, 4, 7, 3, 4, 6, 4, 6, 4, 5]","[0, 30, 75, 135, 195, 255, 315, 390, 435, 495, 555, 615, 645]"
,5652,675.0,"[4, 5, 4, 3, 5, 3, 4, 3, 2, 7, 7, 4, 6]","[4, 5, 4, 3, 5, 3, 4, 3, 2, 7, 4, 6]","[0, 30, 75, 135, 210, 255, 315, 375, 450, 510, 585, 630]"
,6127,672.5,"[4, 7, 7, 7, 6, 5, 5, 5, 4, 3, 7, 7, 4, 2, 4, 6, 4, 5]","[4, 7, 6, 5, 4, 3, 7, 4, 2, 4, 6, 4, 5]","[0, 30, 75, 135, 195, 240, 315, 375, 435, 495, 540, 600, 645]"
,6131,672.0,"[4, 5, 4, 3, 5, 5, 4, 7, 7, 4, 2, 4, 5, 4, 3]","[4, 5, 4, 3, 5, 4, 7, 4, 2, 4, 5, 4, 3]","[0, 30, 75, 135, 210, 255, 300, 375, 420, 495, 540, 585, 630]"
,6096,674.0,"[4, 4, 5, 6, 2, 4, 6, 2, 4, 4, 3, 5, 4, 5, 4, 4, 1]","[4, 5, 6, 2, 4, 6, 2, 4, 3, 5, 4, 5, 4]","[0, 30, 75, 135, 210, 270, 330, 390, 450, 510, 555, 600, 645]"
,6109,674.0,"[4, 4, 7, 4, 6, 6, 6, 4, 3, 3, 6, 6, 5, 4, 3, 4, 4, 6, 5]","[4, 7, 4, 6, 4, 3, 6, 5, 4, 3, 4, 6, 5]","[0, 30, 75, 150, 195, 255, 315, 375, 435, 480, 540, 585, 645]"
,6126,673.5,"[4, 7, 6, 4, 3, 6, 4, 5, 3, 5, 4, 4, 7, 4, 1]","[4, 7, 6, 4, 3, 6, 4, 5, 3, 5, 4, 7, 4]","[0, 30, 75, 135, 195, 270, 315, 390, 435, 495, 540, 585, 645]"
,6100,670.5,"[5, 5, 7, 4, 5, 4, 6, 5, 5, 4, 6, 4, 3, 4, 3]","[5, 7, 4, 5, 4, 6, 5, 4, 6, 4, 3, 4, 3]","[0, 30, 75, 135, 195, 240, 300, 345, 405, 465, 510, 585, 615]"
,6056,664.0,"[5, 6, 4, 4, 5, 6, 6, 4, 2, 4, 6, 5, 3, 4, 5]","[5, 6, 4, 5, 6, 4, 2, 4, 6, 5, 3, 4, 5]","[0, 30, 60, 135, 180, 240, 300, 375, 435, 495, 540, 600, 645]"
,6101,672.0,"[4, 5, 4, 3, 3, 7, 7, 4, 6, 2, 6, 4, 5, 4, 5, 5, 1]","[4, 5, 4, 3, 7, 4, 6, 2, 6, 4, 5, 4, 5]","[0, 30, 75, 135, 210, 270, 315, 375, 450, 510, 555, 615, 645]"
,6103,651.0,"[5, 7, 5, 4, 2, 2, 4, 5, 5, 4, 5, 3, 4, 3, 3, 4]","[5, 7, 5, 4, 2, 4, 5, 4, 5, 3, 4, 3, 4]","[0, 30, 75, 135, 195, 255, 315, 360, 405, 450, 525, 570, 630]"
,6094,673.5,"[4, 4, 7, 4, 2, 6, 5, 5, 6, 2, 5, 3, 4, 5, 5, 4]","[4, 7, 4, 2, 6, 5, 6, 2, 5, 3, 4, 5, 4]","[0, 30, 75, 150, 210, 285, 330, 390, 450, 495, 570, 615, 660]"
,6108,671.5,"[4, 5, 4, 7, 3, 5, 4, 4, 5, 4, 7, 3, 4, 4, 5]","[4, 5, 4, 7, 3, 5, 4, 5, 4, 7, 3, 4, 5]","[0, 30, 75, 135, 195, 270, 315, 375, 435, 480, 540, 615, 645]"
,6101,662.0,"[4, 4, 6, 7, 7, 4, 3, 4, 4, 5, 4, 2, 5, 6, 5, 4, 0]","[4, 6, 7, 4, 3, 4, 5, 4, 2, 5, 6, 5, 4]","[0, 30, 75, 135, 195, 270, 315, 360, 420, 480, 525, 585, 630]"
,6085,675.0,"[4, 4, 5, 6, 4, 2, 5, 7, 5, 4, 3, 5, 5, 2, 4]","[4, 5, 6, 4, 2, 5, 7, 5, 4, 3, 5, 2, 4]","[0, 30, 75, 135, 195, 255, 300, 360, 420, 465, 540, 585, 645]"
,6090,670.0,"[5, 6, 4, 7, 6, 7, 3, 5, 5, 3, 5, 4, 3, 4]","[5, 6, 4, 7, 6, 7, 3, 5, 3, 5, 4, 3, 4]","[0, 30, 60, 135, 195, 255, 330, 390, 435, 495, 540, 585, 645]"
,6103,673.5,"[5, 4, 3, 5, 7, 4, 3, 3, 5, 4, 5, 4, 2, 4]","[5, 4, 3, 5, 7, 4, 3, 5, 4, 5, 4, 2, 4]","[0, 30, 75, 150, 210, 270, 330, 390, 435, 480, 525, 570, 645]"
,6098,675.0,"[5, 7, 6, 5, 4, 3, 3, 7, 4, 5, 4, 3, 4, 6, 1]","[5, 7, 6, 5, 4, 3, 7, 4, 5, 4, 3, 4, 6]","[0, 30, 75, 135, 180, 240, 300, 375, 420, 465, 525, 585, 630]"
,6121,668.0,"[4, 4, 7, 6, 4, 3, 5, 3, 4, 5, 4, 2, 6, 6, 4, 0]","[4, 7, 6, 4, 3, 5, 3, 4, 5, 4, 2, 6, 4]","[0, 30, 75, 135, 195, 270, 315, 375, 420, 480, 510, 585, 645]"
