日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-26,8,6099.0,719,"[5, 3, 3, 7, 2, 2, 4, 3, 3, 1, 3, 2, 1, 3, 0, 5, 2]","[5, 3, 7, 2, 4, 3, 1, 3, 2, 1, 3, 5, 2]","[0, 30, 90, 150, 210, 255, 315, 420, 465, 540, 630, 675, 705]"
2022-07-26,4,6036.0,708,"[6, 5, 6, 5, 3, 7, 2, 3, 5, 7, 3, 6, 5, 5, 1, 4, 0, 2]","[6, 5, 6, 5, 3, 7, 2, 3, 5, 7, 3, 6, 5]","[0, 45, 90, 165, 195, 255, 345, 420, 465, 510, 570, 630, 675]"
2022-07-26,4,5633.0,743,"[7, 2, 1, 5, 2, 3, 5, 7, 2, 3, 2, 3, 0, 4, 0, 1, 1, 3]","[7, 2, 1, 5, 2, 3, 5, 7, 2, 3, 2, 3]","[0, 45, 150, 240, 285, 345, 405, 450, 525, 585, 630, 705]"
2022-07-26,5,5641.0,709,"[3, 7, 6, 3, 6, 3, 6, 3, 6, 7, 2, 4, 3, 4, 2, 2, 4]","[3, 7, 6, 3, 6, 3, 6, 3, 6, 7, 2, 4]","[0, 75, 135, 210, 255, 330, 375, 435, 495, 540, 615, 690]"
2022-07-26,10,5645.0,719,"[6, 2, 5, 6, 2, 3, 0, 4, 3, 3, 4, 3, 2, 6, 2, 1]","[6, 2, 5, 6, 2, 3, 0, 4, 3, 4, 3, 2]","[0, 45, 135, 180, 240, 315, 375, 465, 495, 555, 600, 645]"
2022-07-26,5,5591.0,719,"[5, 6, 6, 0, 2, 7, 7, 5, 7, 5, 4, 5, 6, 0, 7, 3, 4, 7, 6]","[5, 6, 0, 2, 7, 5, 7, 5, 4, 5, 6, 0]","[0, 30, 60, 180, 240, 330, 375, 450, 495, 525, 570, 630]"
2022-07-26,4,5653.0,735,"[7, 2, 0, 4, 7, 4, 6, 2, 5, 3, 5, 5, 7, 4, 2, 1, 5, 0, 7]","[7, 2, 0, 4, 7, 4, 6, 2, 5, 3, 5, 7]","[0, 45, 150, 255, 315, 390, 435, 495, 570, 600, 645, 675]"
2022-07-26,3,6101.0,727,"[5, 7, 3, 5, 6, 4, 3, 7, 4, 3, 7, 7, 6, 6, 1, 4, 4]","[5, 7, 3, 5, 6, 4, 3, 7, 4, 3, 7, 6, 1]","[0, 30, 75, 135, 180, 240, 285, 345, 435, 465, 510, 585, 645]"
2022-07-26,5,5628.0,748,"[5, 5, 0, 4, 1, 3, 5, 2, 4, 6, 1, 4, 3, 0, 6, 2]","[5, 0, 4, 1, 3, 5, 2, 4, 6, 1, 4, 3]","[0, 30, 180, 225, 330, 375, 435, 495, 525, 585, 675, 705]"
2022-07-26,4,5650.0,706,"[5, 5, 7, 1, 4, 6, 7, 0, 0, 5, 4, 0, 3, 4, 2, 3, 2, 5, 5]","[5, 7, 1, 4, 6, 7, 0, 5, 4, 0, 3, 4]","[0, 30, 75, 195, 240, 300, 360, 465, 510, 540, 630, 675]"
