日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
,4,5647.0,676.5,"[6, 7, 3, 6, 3, 4, 4, 3, 3, 4, 5, 4, 7, 6]","[6, 7, 3, 6, 3, 4, 3, 4, 5, 4, 7, 6]","[0, 45, 105, 165, 225, 285, 345, 420, 465, 510, 555, 630]"
,4,5655.0,715.0,"[7, 4, 3, 5, 4, 2, 5, 3, 7, 2, 3, 2, 4, 2, 4, 5, 3]","[7, 4, 3, 5, 4, 2, 5, 3, 7, 2, 3, 2]","[0, 45, 120, 180, 225, 285, 360, 405, 465, 540, 600, 660]"
,7,5681.0,713.0,"[4, 7, 1, 2, 4, 3, 3, 4, 1, 7, 5, 7, 4, 1, 2, 0, 5, 4, 4, 5]","[4, 7, 1, 2, 4, 3, 4, 1, 7, 5, 7, 4]","[0, 30, 75, 195, 255, 315, 375, 435, 525, 585, 630, 690]"
,3,6113.0,713.0,"[4, 7, 5, 5, 3, 2, 7, 2, 6, 4, 5, 6, 4, 2, 1, 4, 4, 5]","[4, 7, 5, 3, 2, 7, 2, 6, 4, 5, 6, 4, 2]","[0, 30, 75, 135, 210, 270, 345, 420, 465, 525, 570, 630, 660]"
,6,5635.0,718.0,"[6, 4, 6, 3, 6, 5, 6, 4, 0, 7, 2, 4, 5, 1, 4, 2, 0, 5]","[6, 4, 6, 3, 6, 5, 6, 4, 0, 7, 2, 4]","[0, 45, 105, 165, 240, 300, 345, 405, 465, 570, 630, 705]"
,2,4676.0,578.0,"[3, 6, 3, 5, 2, 6, 3, 3, 6, 4, 3]","[3, 6, 3, 5, 2, 6, 3, 6, 4, 3]","[0, 60, 105, 180, 225, 300, 360, 420, 480, 525]"
,8,4236.0,516.5,"[5, 7, 4, 7, 7, 2, 1, 5, 7, 7, 4]","[5, 7, 4, 7, 2, 1, 5, 7, 4]","[0, 30, 75, 135, 195, 270, 360, 420, 480]"
,3,5199.0,711.0,"[6, 4, 2, 2, 4, 3, 3, 7, 4, 4, 4, 3, 1, 2, 1, 4, 2, 3, 0]","[6, 4, 2, 4, 3, 7, 4, 3, 1, 2, 1]","[0, 45, 105, 180, 240, 300, 375, 420, 480, 585, 645]"
,6,5211.0,738.0,"[4, 0, 6, 6, 3, 4, 6, 4, 7, 1, 4, 7, 4, 1, 0, 4, 7, 7]","[4, 0, 6, 3, 4, 6, 4, 7, 1, 4, 7]","[0, 30, 180, 255, 315, 375, 435, 495, 555, 660, 690]"
,8,6608.0,715.0,"[4, 6, 7, 4, 7, 7, 1, 7, 3, 4, 3, 4, 4, 5, 4, 5, 4, 4, 0]","[4, 6, 7, 4, 7, 1, 7, 3, 4, 3, 4, 5, 4, 5]","[0, 30, 75, 135, 195, 255, 360, 435, 495, 540, 600, 645, 675, 705]"
,2,5684.0,712.0,"[4, 6, 4, 7, 3, 3, 2, 3, 7, 4, 2, 2, 3, 1, 2, 2, 4, 0, 0]","[4, 6, 4, 7, 3, 2, 3, 7, 4, 2, 3, 1]","[0, 30, 75, 135, 195, 270, 345, 405, 480, 525, 600, 660]"
,2,5648.0,714.0,"[3, 5, 4, 4, 1, 4, 5, 6, 7, 4, 7, 7, 3, 7]","[3, 5, 4, 1, 4, 5, 6, 7, 4, 7, 3, 7]","[0, 60, 120, 180, 270, 315, 360, 420, 495, 540, 600, 660]"
,5,5654.0,706.0,"[4, 6, 7, 6, 3, 2, 2, 7, 5, 7, 1, 4, 0, 5, 4, 5]","[4, 6, 7, 6, 3, 2, 7, 5, 7, 1, 4, 0]","[0, 30, 75, 135, 195, 270, 345, 405, 465, 525, 615, 660]"
,3,5253.0,613.5,"[4, 7, 4, 2, 4, 4, 3, 3, 4, 3, 4, 7, 4, 4]","[4, 7, 4, 2, 4, 3, 4, 3, 4, 7, 4]","[0, 30, 75, 150, 210, 270, 345, 405, 465, 510, 570]"
