日付,lambda,トータル満足度,トータル所要時間,予定プラン,最適プラン,タイムスケジュール
2022-07-02,3,6608.0,722,"[4, 4, 4, 7, 3, 5, 1, 7, 6, 4, 1, 3, 4, 2, 3, 4, 7, 2]","[4, 7, 3, 5, 1, 7, 6, 4, 1, 3, 4, 2, 3, 4]","[0, 30, 75, 150, 180, 270, 330, 390, 435, 540, 585, 600, 675, 705]"
2022-07-02,3,6089.0,742,"[6, 6, 4, 7, 6, 6, 5, 6, 2, 7, 6, 7, 3, 6, 2]","[6, 4, 7, 6, 5, 6, 2, 7, 6, 7, 3, 6, 2]","[0, 45, 105, 165, 225, 270, 330, 405, 480, 540, 600, 645, 675]"
2022-07-02,9,5226.0,718,"[1, 7, 2, 3, 7, 0, 7, 4, 3, 3, 7, 0, 2, 5, 4, 4]","[1, 7, 2, 3, 7, 0, 7, 4, 3, 7, 0]","[0, 30, 75, 165, 240, 315, 420, 480, 495, 555, 615]"
2022-07-02,2,5653.0,720,"[3, 6, 3, 0, 4, 4, 7, 6, 2, 5, 3, 4, 0, 6, 7, 6, 2, 5, 5]","[3, 6, 3, 0, 4, 7, 6, 2, 5, 3, 4, 0]","[0, 60, 105, 165, 255, 315, 390, 465, 525, 555, 600, 630]"
2022-07-02,3,6067.0,650,"[5, 6, 7, 5, 6, 3, 0, 2, 4, 5, 7, 5, 4, 4, 4]","[5, 6, 7, 5, 6, 3, 0, 2, 4, 5, 7, 5, 4]","[0, 30, 60, 120, 165, 225, 285, 390, 450, 495, 525, 615, 630]"
2022-07-02,7,4637.0,500,"[3, 6, 5, 2, 5, 6, 2, 2, 5, 6, 4]","[3, 6, 5, 2, 5, 6, 2, 5, 6, 4]","[0, 60, 105, 135, 210, 255, 315, 375, 420, 480]"
2022-07-02,9,5642.0,607,"[3, 7, 3, 3, 5, 7, 2, 3, 4, 5, 4, 6, 3]","[3, 7, 3, 5, 7, 2, 3, 4, 5, 4, 6, 3]","[0, 60, 105, 165, 210, 270, 345, 405, 450, 480, 495, 570]"
2022-07-02,4,5612.0,730,"[2, 4, 3, 2, 5, 2, 7, 2, 5, 6, 5, 2, 4, 5, 1, 6, 1, 5]","[2, 4, 3, 2, 5, 2, 7, 2, 5, 6, 5, 2]","[0, 120, 165, 225, 300, 345, 405, 480, 555, 585, 645, 675]"
2022-07-02,5,6557.0,719,"[5, 7, 3, 7, 4, 5, 5, 5, 5, 3, 4, 5, 3, 4, 6, 5, 0, 2, 6]","[5, 7, 3, 7, 4, 5, 3, 4, 5, 3, 4, 6, 5, 0]","[0, 30, 75, 135, 210, 270, 315, 360, 420, 450, 495, 525, 585, 630]"
2022-07-02,6,6099.0,716,"[6, 2, 6, 7, 7, 6, 3, 5, 0, 4, 6, 3, 4, 3, 3, 4, 3, 4, 2, 3]","[6, 2, 6, 7, 6, 3, 5, 0, 4, 6, 3, 4, 3]","[0, 45, 150, 210, 270, 330, 390, 435, 525, 555, 615, 660, 690]"
2022-07-02,2,6078.0,726,"[5, 2, 3, 6, 7, 7, 6, 4, 7, 6, 5, 7, 7, 5, 4, 5, 3, 2, 5, 2]","[5, 2, 3, 6, 7, 6, 4, 7, 6, 5, 7, 5, 4]","[0, 30, 150, 210, 270, 330, 390, 450, 525, 585, 630, 690, 705]"
2022-07-02,3,6069.0,725,"[4, 6, 4, 6, 5, 0, 7, 1, 5, 2, 7, 5, 6, 6, 4, 2, 6]","[4, 6, 4, 6, 5, 0, 7, 1, 5, 2, 7, 5, 6]","[0, 30, 75, 135, 195, 240, 345, 420, 510, 540, 600, 660, 690]"
2022-07-02,5,6112.0,710,"[7, 7, 3, 3, 7, 4, 6, 7, 6, 5, 3, 0, 5, 4, 4, 4, 3, 2, 6]","[7, 3, 7, 4, 6, 7, 6, 5, 3, 0, 5, 4, 3]","[0, 45, 120, 180, 225, 285, 360, 435, 465, 510, 630, 660, 675]"
2022-07-02,2,5138.0,569,"[3, 4, 5, 1, 3, 6, 3, 5, 5, 4, 5, 5, 4]","[3, 4, 5, 1, 3, 6, 3, 5, 4, 5, 4]","[0, 60, 120, 165, 255, 315, 390, 450, 480, 495, 540]"
2022-07-02,5,5659.0,709,"[6, 0, 7, 2, 4, 1, 3, 4, 7, 7, 3, 5, 5, 5, 3, 4, 0, 2, 3]","[6, 0, 7, 2, 4, 1, 3, 4, 7, 3, 5, 3]","[0, 45, 180, 255, 315, 375, 450, 495, 525, 600, 645, 675]"
2022-07-02,3,5645.0,742,"[7, 6, 3, 1, 3, 4, 7, 5, 3, 0, 6, 7, 5, 4, 2, 4]","[7, 6, 3, 1, 3, 4, 7, 5, 3, 0, 6, 7]","[0, 45, 90, 150, 255, 315, 375, 450, 480, 525, 630, 690]"
2022-07-02,5,7059.0,651,"[3, 3, 7, 5, 5, 2, 4, 7, 4, 5, 7, 4, 5, 3, 4, 5, 4]","[3, 7, 5, 2, 4, 7, 4, 5, 7, 4, 5, 3, 4, 5, 4]","[0, 60, 105, 150, 225, 270, 330, 390, 420, 495, 510, 540, 585, 615, 630]"
2022-07-02,8,5654.0,738,"[5, 7, 6, 1, 7, 6, 6, 4, 7, 3, 7, 2, 7, 3, 1, 5, 2, 4, 2]","[5, 7, 6, 1, 7, 6, 4, 7, 3, 7, 2, 7]","[0, 30, 75, 135, 255, 315, 390, 435, 510, 555, 630, 675]"
2022-07-02,4,4737.0,527,"[5, 7, 3, 4, 2, 2, 4, 3, 7, 4, 3, 3]","[5, 7, 3, 4, 2, 4, 3, 7, 4, 3]","[0, 30, 75, 135, 195, 255, 315, 375, 450, 480]"
2022-07-02,10,6131.0,724,"[4, 2, 1, 7, 5, 4, 6, 6, 3, 0, 4, 6, 2, 4, 0, 5, 1]","[4, 2, 1, 7, 5, 4, 6, 3, 0, 4, 6, 2, 4]","[0, 30, 150, 255, 315, 360, 420, 480, 525, 630, 660, 690, 705]"
2022-07-02,6,5151.0,710,"[0, 5, 7, 3, 1, 4, 7, 1, 5, 6, 3, 7, 7, 3, 1, 5, 3, 6, 7]","[0, 5, 7, 3, 1, 4, 7, 1, 5, 6, 3]","[0, 150, 195, 270, 315, 405, 450, 525, 615, 645, 675]"
2022-07-02,7,5657.0,717,"[4, 3, 5, 0, 6, 3, 5, 4, 4, 7, 4, 4, 7, 0, 4, 0, 3]","[4, 3, 5, 0, 6, 3, 5, 4, 7, 4, 7, 0]","[0, 30, 105, 135, 255, 315, 360, 405, 450, 525, 555, 630]"
2022-07-02,3,5622.0,711,"[4, 2, 5, 5, 4, 6, 1, 0, 6, 6, 5, 3, 3, 7, 3, 5, 2, 0, 4]","[4, 2, 5, 4, 6, 1, 0, 6, 5, 3, 7, 3]","[0, 30, 150, 195, 225, 300, 390, 480, 540, 570, 615, 675]"
2022-07-02,3,5145.0,734,"[6, 6, 2, 1, 3, 5, 7, 3, 3, 2, 6, 1, 1, 2, 3, 0]","[6, 2, 1, 3, 5, 7, 3, 2, 6, 1, 2]","[0, 45, 150, 255, 315, 360, 435, 480, 540, 600, 675]"
2022-07-02,4,5591.0,714,"[5, 6, 7, 2, 6, 1, 3, 1, 6, 2, 5, 7, 3, 5, 3, 1, 5, 6, 4]","[5, 6, 7, 2, 6, 1, 3, 1, 6, 2, 5, 7]","[0, 30, 60, 120, 195, 255, 345, 405, 495, 555, 630, 660]"
